"","Yam & potatoe peel","Plantain peel","Egg shell","Vegetables and Fruits","Empty drink cans","Bottle caps","Bent spoons and cups","Electrical and Mechanical parts","Pet bottles","Empty Water Sachets","Plastic Bottles","Fast-Food Packets","Paper and Cartons","Glass"
"Yam...potatoe.peel",1,0.0250281333777641,-0.314206492859286,-0.134318436178872,-0.189785050394838,-0.172889728330918,-0.308760061968246,0.196661028819057,-0.17083500359167,-0.153873441147345,0.178555233217708,0.0538636273621113,0.0581159325643184,0.0412583133202319
"Plantain.peel",0.0250281333777641,1,-0.20070766164438,-0.274173078805538,-0.179542728206531,-0.0860883028389418,0.113909344073368,-0.0733859235767023,0.0954608361891966,-0.273073860341451,-0.255321333749576,0.00621112536918856,-0.229880459248678,-0.0606696264675618
"Egg.shell",-0.314206492859286,-0.20070766164438,1,0.160404456252773,0.164809995022804,0.325256162084296,0.151303473691052,-0.0696230484289802,-0.122873427465007,0.242842909560796,0.0288992528338471,0.0689497234784979,-0.196388268185924,0.138602201286636
"Vegetables.and.Fruits",-0.134318436178872,-0.274173078805538,0.160404456252773,1,0.145670474140369,-0.214085917888688,-0.0384794854046667,-0.0938651489787198,0.252757177715026,0.192827218994164,0.122959450362643,0.218505605126265,0.0753221695980871,0.0323745873024848
"Empty.drink.cans",-0.189785050394838,-0.179542728206531,0.164809995022804,0.145670474140369,1,0.0253784387318578,0.128207512453135,0.0194899437026454,-0.198938616852083,0.0432100178629959,-0.0720205037867352,0.209477260105189,0.105131784207894,-0.238402083391017
"Bottle.caps",-0.172889728330918,-0.0860883028389418,0.325256162084296,-0.214085917888688,0.0253784387318578,1,-0.0259253832689453,-0.00396678964929429,0.118744803242151,0.237873603021407,0.115271536022825,-0.189483840442354,-0.143191306898582,-0.00806919874576531
"Bent.spoons.and.cups",-0.308760061968246,0.113909344073368,0.151303473691052,-0.0384794854046667,0.128207512453135,-0.0259253832689453,1,-0.159947425928877,0.0681037455324981,0.0254763245684791,-0.183688598413806,-0.0356373905902838,-0.0559343114377678,-0.0522186331320388
"Electrical.and.Mechanical.parts",0.196661028819057,-0.0733859235767023,-0.0696230484289802,-0.0938651489787198,0.0194899437026454,-0.00396678964929429,-0.159947425928877,1,-0.173765488723039,-0.0795593553266479,0.0364109719438612,0.162434578473983,0.0373625079271457,-0.0217974619675133
"Pet.bottles",-0.17083500359167,0.0954608361891966,-0.122873427465007,0.252757177715026,-0.198938616852083,0.118744803242151,0.0681037455324981,-0.173765488723039,1,-0.189353263513926,-0.0664757487885674,0.0552407381684501,0.069479738754017,0.217345856077151
"Empty.Water.Sachets",-0.153873441147345,-0.273073860341451,0.242842909560796,0.192827218994164,0.0432100178629959,0.237873603021407,0.0254763245684791,-0.0795593553266479,-0.189353263513926,1,0.0683129202589038,-0.200899253386781,-0.00600485393787997,-0.193587361228736
